Year,Date,Field,Block,Treatment,Dry_Matter,A_acid,B_acid,_HSI,Color
2020,8/26/2020,Farm3,IV,1,30.76,4.3,8.53,0.21,7
2020,8/26/2020,Farm3,V,1,26.4,5.58,9.6,0.204,6
2020,8/26/2020,Farm3,VI,1,29.3,4.61,8.77,0.209,7
2020,8/26/2020,Farm3,VII,1,30.11,5.28,9.17,0.203,8
2020,8/26/2020,Farm3,I,2,20.63,4.84,9.92,0.21,8
2020,8/26/2020,Farm3,II,2,25.69,5.92,9.67,0.219,7
2020,8/26/2020,Farm3,III,2,26.99,5.26,9.17,0.219,7
2020,8/26/2020,Farm3,IV,2,30.57,5.98,9.27,0.217,7
2020,8/26/2020,Farm3,V,2,29.91,5.03,9.58,0.216,7
2020,8/26/2020,Farm3,VI,2,28.55,5.5,10.23,0.222,6
2020,8/26/2020,Farm3,VII,2,28.26,5.54,9.26,0.217,8
2020,8/26/2020,Farm3,I,3,28.25,5.31,9.23,0.215,7
2020,8/26/2020,Farm3,II,3,32.27,4.97,9.36,0.213,6
2020,8/26/2020,Farm3,III,3,26.71,5.99,9.74,0.205,7
2020,8/26/2020,Farm3,IV,3,30.75,5.23,9.43,0.223,7
2020,8/26/2020,Farm3,V,3,26.47,4.91,8.93,0.218,8
2020,8/26/2020,Farm3,VI,3,25.99,4.95,9.05,0.219,7
2020,8/26/2020,Farm3,VII,3,22.97,4.89,9.25,0.211,8
2020,8/26/2020,Farm3,I,4,24.21,5.57,9.29,0.215,8
2020,8/26/2020,Farm3,II,4,30.04,4.98,10.02,0.206,6
2020,8/26/2020,Farm3,III,4,28.91,4.73,9.49,0.214,7
2020,8/26/2020,Farm3,IV,4,25.99,5.99,9.91,0.21,8
2020,8/26/2020,Farm3,V,4,30.34,4.98,9.39,0.211,7
2020,8/26/2020,Farm3,VI,4,28.97,5.53,9.61,0.215,7
2020,8/26/2020,Farm3,VII,4,25.98,5.95,10.23,0.203,6
2021,8/23/2021,Farm3,I,1,18.41,7,10.5,0.222,8
2021,8/23/2021,Farm3,II,1,21.23,5,8.8,0.211,9
2021,8/23/2021,Farm3,III,1,18.77,5.4,9.4,0.218,8
2021,8/23/2021,Farm3,IV,1,21.24,8.1,9.3,0.224,8
2021,8/23/2021,Farm3,V,1,19.42,5.6,8.8,0.204,8
2021,8/23/2021,Farm3,VI,1,19.94,5.7,8.8,0.225,8
2021,8/23/2021,Farm3,VII,1,21.3,5.4,9.5,0.217,8
2021,8/23/2021,Farm3,I,2,20.61,6.4,9.9,0.22,8
2021,8/23/2021,Farm3,II,2,20.96,5.3,8.7,0.206,9
2021,8/23/2021,Farm3,III,2,20.4,4.3,7.9,0.203,8
2021,8/23/2021,Farm3,IV,2,20.09,6.1,9.8,0.218,8
2021,8/23/2021,Farm3,V,2,19.87,6.4,9.3,0.223,9
2021,8/23/2021,Farm3,VI,2,20.12,6.1,10,0.234,8
2021,8/23/2021,Farm3,VII,2,21.66,5.3,9.1,0.215,8
2021,8/23/2021,Farm3,I,3,20.87,5.6,9.1,0.219,8
2021,8/23/2021,Farm3,II,3,22.55,6.5,8.6,0.208,8
2021,8/23/2021,Farm3,III,3,20.26,6.2,9,0.212,8
2021,8/23/2021,Farm3,IV,3,20.61,5.2,9.3,0.22,8
2021,8/23/2021,Farm3,V,3,19.86,4.8,9.3,0.224,8
2021,8/23/2021,Farm3,VI,3,19.95,6.6,10.4,0.24,8
2021,8/23/2021,Farm3,VII,3,17.73,7.3,8.9,0.217,9
2021,8/23/2021,Farm3,I,4,20.34,5.3,8.4,0.185,8
2021,8/23/2021,Farm3,II,4,18.54,6.4,9.5,0.214,9
2021,8/23/2021,Farm3,III,4,19.7,6.7,10,0.237,8
2021,8/23/2021,Farm3,IV,4,20.54,5.1,9.3,0.226,9
2021,8/23/2021,Farm3,V,4,20.94,6,10.4,0.225,8
2021,8/23/2021,Farm3,VI,4,20.07,5,8.9,0.229,9
2021,8/23/2021,Farm3,VII,4,19.42,6.8,10.2,0.23,8
2022,8/25/2022,Farm3,I,1,20.09,4.6,8.4,0.241,9
2022,8/25/2022,Farm3,II,1,21.64,4.9,9.6,0.231,8
2022,8/25/2022,Farm3,III,1,23.53,3.9,8.7,0.254,7
2022,8/25/2022,Farm3,IV,1,22.16,5.7,9.3,0.225,8
2022,8/25/2022,Farm3,V,1,23.67,4.6,9.1,0.232,8
2022,8/25/2022,Farm3,VI,1,19.85,5.4,9.3,0.238,7
2022,8/25/2022,Farm3,VII,1,22.34,4.5,8.5,0.231,8
2022,8/25/2022,Farm3,I,2,22.17,4.5,8.8,0.241,8
2022,8/25/2022,Farm3,II,2,19.48,5.4,7.8,0.231,9
2022,8/25/2022,Farm3,III,2,26.88,3.9,7.4,0.236,9
2022,8/25/2022,Farm3,IV,2,20.75,5,8.6,0.221,8
2022,8/25/2022,Farm3,V,2,19.62,4.8,9,0.253,8
2022,8/25/2022,Farm3,VI,2,21.35,5,8.6,0.226,7
2022,8/25/2022,Farm3,VII,2,26.98,13.5,8,0.238,9
2022,8/25/2022,Farm3,I,3,20.28,4.6,8.4,0.241,9
2022,8/25/2022,Farm3,II,3,21.44,4.9,9.6,0.231,8
2022,8/25/2022,Farm3,III,3,21.89,3.9,8.7,0.254,8
2022,8/25/2022,Farm3,IV,3,22.78,5.7,9.3,0.225,8
2022,8/25/2022,Farm3,V,3,23.74,4.7,5.5,0.237,8
2022,8/25/2022,Farm3,VI,3,20.54,4.7,5.7,0.262,9
2022,8/25/2022,Farm3,VII,3,22.21,5.4,5.3,0.229,9
2022,8/25/2022,Farm3,I,4,20.2,4.6,5.8,0.236,8
2022,8/25/2022,Farm3,II,4,18.38,5.1,6.4,0.231,8
2022,8/25/2022,Farm3,III,4,20.19,4.5,6.2,0.238,9
2022,8/25/2022,Farm3,IV,4,18.14,4.1,6.1,0.245,8
2022,8/25/2022,Farm3,V,4,23.18,5,5.8,0.237,9
2022,8/25/2022,Farm3,VI,4,22.47,6.4,5.9,0.23,8
2022,8/25/2022,Farm3,VII,4,21.38,4.5,6.1,0.249,8
